movie_name,language,year_of_release,maturity_rating,total_running_time_minutes,imdb_ratings
Pupa,Bengali,2018,13+,108,7.5
MAHIRA,Kannada,2019,13+,128,6.3
Only,English,2020,18+,97,5.1
The Lodge,Hindi,2020,18+,108,6.1
Valayam,Telugu,2020,13+,138,6
Aisha,Hindi,2010,7+,126,5
Journey Of Bhangover,Hindi,2017,13+,109,0
Battledogs,Hindi,2013,13+,84,3.5
Crazy Rich Asians,English,2018,16+,120,6.9
Ranga Patanga,Marathi,2016,All,98,7.5
Ponnumani,Tamil,1993,All,149,6.5
Airaa (Telugu),Telugu,2019,13+,140,4.7
Raagam Sreeragam,Malayalam,1990,NR,60,0
Bal Nan Maga,Kannada,1995,NR,137,0
Kushi,Tamil,2000,All,170,7.4
Mayabazar 2016,Kannada,2020,13+,130,7.1
Hum Aapke Hain Koun,Hindi,1994,All,193,7.5
Aerial America: Natural Wonders,English,2016,NR,51,0
Mere Khwabon Mein Jo Aaye,Hindi,2009,All,114,5.6
Path O Prasad,Bengali,1991,NR,134,0
Triple Seat,Marathi,2019,All,126,6
Simul Parul,Bengali,1998,NR,139,1.6
Restricted Area Plot No. 666,Hindi,2014,18+,95,3.5
Superstar,Marathi,2011,All,141,4.9
Mee Sindhutai Sapkal,Marathi,2010,All,107,7
Agnipath,Bengali,2017,13+,155,5.4
Palunku,Malayalam,2006,All,129,6.4
Kireedamillatha Rajakkanmar,Malayalam,1996,NR,133,5.1
Jess + Moss,English,2011,NR,81,6.4
Aa Okkadu,Telugu,2009,All,154,6.6
Jeena Hai Toh Thok Daal,Hindi,2012,NR,123,5.5
Sanyasi Raja,Bengali,1975,NR,139,7.9
Utsavamelam,Malayalam,1992,NR,137,5.2
Police Power,Kannada,1995,NR,126,5.3
Sansaar Sangram,Bengali,1995,NR,161,0
Dugga,Bengali,2020,13+,14,0
The Bank Job,Hindi,2008,18+,107,7.2
Top Cat (Hindi),Hindi,2012,All,86,0
The Raid 2,Hindi,2014,18+,144,8
Beverly Hills Cop II,English,1987,18+,102,6.5
The Intern,English,2015,13+,121,7.1
Agni IPS,Kannada,1997,NR,125,7.9
Bobbili Puli,Telugu,1982,NR,169,7.2
Gumnaami,Bengali,2020,13+,139,7.8
Dedh Ishqiya,Hindi,2014,13+,141,7.1
Jackpot,Hindi,2013,18+,91,2
Appu Chesi Pappu Koodu,Telugu,None,All,150,7.9
Super Nova 459,Kannada,1994,NR,134,6.7
Ekanta Apan,Bengali,1987,NR,145,0
Qayamat - City Under Threat,Hindi,2003,18+,156,4.7
Raja,Hindi,1995,13+,156,5.3
Vaalu,Tamil,2015,All,151,4.7
MLA Fatakesto,Bengali,2017,13+,139,0
San Andreas,English,2015,13+,114,6.1
Shikaar,Hindi,1999,NR,135,0
Hum To Mohabbat Karega,Hindi,2000,13+,148,2.7
Hum Hai Rahi Pyar Ke,Hindi,1993,All,155,7.4
Hyderabad Love story,Telugu,2018,13+,140,0
Daawat e Ishq,Hindi,2014,7+,118,6.1
Date Movie,English,2006,18+,82,2.8
Elaan,Hindi,2005,18+,145,4.4
Pathala Bhairavi,Telugu,None,All,182,8.4
Bailampudi,Telugu,2019,13+,115,6.8
Tor Nam,Bengali,2017,13+,150,0
Che Guevara: The Face That Lead a Revolution,English,2020,13+,23,0
Menka Urvashi,Marathi,2019,13+,149,0
Richie,Tamil,2017,13+,104,5.3
Generation Aami,Bengali,2018,13+,118,7.6
The Legend of Hercules,English,2014,13+,98,4.2
Kuppivala,Malayalam,2017,All,135,0
Mr. Bharath,Telugu,1989,NR,145,7.2
Hum Kissi Se Kum Nahin,Hindi,2002,13+,155,4.4
Balaka Ambedkar,Kannada,1991,NR,112,0
Soaring Highs and Brutal Lows,English,2020,13+,93,0
Shubh Kaamna,Hindi,1983,NR,138,6.3
Mooga Nomu,Telugu,None,All,168,7.9
Athagaru Swagatham,Telugu,1998,NR,115,0
Janam Janamer Saathi,Bengali,2002,NR,145,0
Queen,Malayalam,2018,13+,155,8.2
Epic Movie,English,2007,All,84,2.4
The Truman Show,English,1998,7+,102,8.1
Dead Trigger,English,2019,18+,91,3.6
Andhra Hendthi,Kannada,2000,NR,132,0
Chori Chori,Hindi,None,All,140,7.8
Eradu Rekhegalu,Kannada,1984,NR,152,0
Adithyan IPS,Tamil,1999,NR,91,0
Veer Abhimanyu,Hindi,2012,All,67,0
Puppy,Tamil,2019,13+,104,5
Thangamana Raasa,Tamil,1989,NR,135,5.8
The Map of Tiny Perfect Things,English,2021,13+,99,6.8
Krishna Arjun,Hindi,1997,NR,130,6.9
Back to the Future II,English,1989,All,107,7.8
Ullam Kollai Poguthae,Tamil,2001,All,143,7.7
Chopper,Bengali,2017,13+,84,7.2
Rajavin Parvaiyiele,Tamil,1995,All,138,6.5
Dahleez,Hindi,1986,All,161,5.3
Beauty and the Beast,Hindi,2016,7+,113,6.4
Maharajin,Hindi,2018,NR,30,7
What Happens in Vegas,English,2008,13+,98,6.1
Rangoli,Kannada,1996,NR,135,7.5
KNIVES OUT,English,2019,13+,130,7.9
Ek Vivaah Aisa Bhi,Hindi,2008,All,132,5.2
One Man Show,Malayalam,2001,NR,139,5.8
Srimanthudu,Telugu,1971,NR,149,7.5
Irupathiyonnaam Noottaandu,Malayalam,2019,All,160,3.3
Kalpurush,Bengali,2017,13+,121,7
Ashkelon National Park,English,2019,13+,26,8.4
Line of Fire,English,1979,18+,79,3.4
Padmaavat,Hindi,2018,13+,162,7
Valerian and the City of a Thousand Planets,English,2017,16+,136,6.5
IT,Hindi,2017,18+,134,7.3
Palleturu,Telugu,None,NR,114,6
Chinna Thambi Periya Thambi,Tamil,1987,NR,133,5.9
Bad Boys for Life,English,2020,18+,123,6.6
Meerayude Dukhavum Muthuvinte Swapnavum,Malayalam,2003,All,133,3.6
Johnny English,Hindi,2003,All,87,6.2
Jal (Water),Hindi,2014,13+,131,6.7
Kaashi,Hindi,2017,All,11,0
Nagina,Hindi,1986,13+,137,6.5
Suriyan,Tamil,1992,All,152,6.1
Beverly Hills Cop,English,1984,18+,105,7.3
Mehbooba,Hindi,2008,All,163,3.5
Moonwalk One,English,2020,13+,103,7.2
The Murderer,Hindi,2011,18+,110,0
Joyee,Bengali,2019,13+,138,0
Target Number One,English,2020,18+,119,6.1
Gandharvam,Malayalam,1993,13+,157,6.4
Mahaan,Bengali,1996,NR,147,0
The Super Simple Show - Halloween,English,2019,All,44,0
Shiva And The Lost Tribe,Hindi,2020,7+,79,0
Sunghursh,Hindi,None,All,142,6.8
Janapriyan,Malayalam,2011,NR,121,6.3
Unhinged,English,2020,18+,90,6
Find Me Guilty,English,2006,18+,119,7
Kadhalan,Tamil,1994,13+,169,7.2
Top Cat,Tamil,2012,13+,86,4.6
Mon Bhange Aaina,Bengali,2013,13+,114,0
Hunterrr,Hindi,2015,18+,140,7
Eluka Majaka,Telugu,2016,13+,127,5.8
Khauff,Hindi,2000,18+,119,4.4
Veedera Police,Telugu,1997,NR,144,0
Athaimadi Methaiyadi,Tamil,1989,NR,119,0
Bhoot Chaturdashi,Bengali,2019,13+,99,3.4
Balika Badhu,Hindi,1976,All,111,0
Katakuti A Game of Relationships,Bengali,2011,NR,121,0
Bhagya Rekha,Telugu,None,NR,147,0
Banshiwala,Bengali,2020,13+,100,7.3
Fillam,Gujarati,2016,All,146,0
Android Kunjappan Ver 5.25,Malayalam,2019,All,137,8.2
The Conjuring 2,Hindi,2016,18+,133,7.3
Aa Family Comedy Che,Gujarati,2016,All,134,0
Amar Kahini,Bengali,1993,NR,154,0
"El-Jazzar Mosque, The White Mosque",English,2020,13+,26,0
Rajaji,Hindi,1999,All,150,4.6
Mudra,Malayalam,1989,NR,120,0
Maafia - Telugu,Telugu,1993,NR,146,0
I Am Kalam,Hindi,2011,All,88,8
Mission: Impossible III,Hindi,2006,13+,125,6.9
Top End Wedding,English,2020,16+,102,6.3
The Mummy: Tomb of the Dragon Emperor,Hindi,2008,13+,111,5.2
Bharatham,Malayalam,1991,All,130,8.4
"Dance Party, USA",English,2006,16+,66,6.3
Mandya,Kannada,2006,13+,167,0
Adbhoot,Bengali,2017,13+,125,0
Sing Along With Tobee 2 - Super Simple,English,2019,All,43,0
Mannemlo Monagadu,Telugu,1986,NR,121,0
Last Chance,Gujarati,2017,13+,133,7.2
Uyyala Jampala,Telugu,2013,All,115,7.1
5 Rifles,Hindi,1974,NR,135,6.4
The Super Simple Show - Space & Planets,English,2019,All,45,0
Grant St. Shaving Co.,Hindi,2011,13+,15,6.4
Avengement,English,2019,18+,88,6.5
Aayna Ka Bayna,Marathi,2012,All,94,5.9
I Love My Muslim,English,2019,13+,53,0
Paramanandayya Shishyula Katha,Telugu,None,All,178,8
Valliettan,Malayalam,2000,18+,171,6.6
Bhagyawan,Hindi,1993,All,136,4.4
Majili,Hindi,2019,13+,149,7.2
Chhota Bheem - Pataliputra,Hindi,2020,All,65,6.3
Draupathi,Tamil,2020,13+,147,3.7
Do Premee,Hindi,1980,All,135,5.7
Ishq Vishk,Hindi,2003,All,129,6
Ek Se Badhkar Ek,Hindi,2004,All,153,7
Biswasghatak,Bengali,2019,13+,135,0
David,Hindi,2013,13+,151,7.2
Titli,Bengali,2017,13+,103,7.6
Sura Sundaranga,Kannada,1989,NR,140,7.4
The Meg,Hindi,2018,13+,113,5.6
The Smurfs,English,2011,7+,102,5.4
William Shakespeare's A Midsummer Night's Dream,English,1999,18+,120,6.4
Men in Black II,Hindi,2002,16+,88,6.2
The Brown Bunny,English,2003,18+,93,5
Govinda Gopala,Kannada,2007,NR,131,0
Unbounded,English,2020,13+,71,6.9
Karthavyam,Telugu,1990,All,117,0
Moonflower,English,2020,13+,48,8.3
Rang Birangi,Hindi,1983,All,121,7.2
Colossal,English,2017,18+,104,6.2
Life Ki Aisi Ki Taisi Ho Gayi Haalat Kaisi,Hindi,2017,NR,107,0
Loudspeaker,Malayalam,2009,All,121,7.4
3 Idiots,Hindi,2009,13+,164,8.4
Banarasi Babu,Hindi,1997,13+,118,4.2
Vayasu Joru,Telugu,2004,NR,68,0
Ora Thakey Odhare,Bengali,None,NR,93,0
Gana,Telugu,2006,NR,131,0
Mukti Bhawan,Hindi,2016,7+,99,0
RAY,Bengali,2018,13+,113,5.4
Momma’s Man,English,2008,16+,98,0
"Don't Worry, He Won't Get Far on Foot",English,2018,18+,113,6.9
Running for Good,English,2019,13+,74,0
Changatham,Malayalam,2009,NR,182,5.5
IIT Krishnamurthy (Kannada),Kannada,2020,All,110,5.7
Green Lantern,Telugu,2011,All,113,5.5
T-34,Telugu,2018,All,112,6.7
Sare Chuattar,Bengali,2017,13+,97,0
Kellafate,Bengali,2017,13+,154,5.9
The Bachelors,English,2017,16+,99,6.8
Jack Ryan: Shadow Recruit,English,2014,13+,105,6.2
Green Lantern,Tamil,2011,All,113,5.5
Jack & Daniel,Malayalam,2019,13+,154,4.4
Yashoda Krishna,Telugu,1975,All,175,6.1
Male Barali Manju Irali,Kannada,2009,NR,145,0
Palatak,Bengali,None,NR,133,8.2
Mathu Vadalara,Telugu,2019,16+,128,8.2
Sita,Bengali,2017,13+,135,4.9
Mayilattam,Malayalam,2004,NR,142,4
Kismath,Malayalam,2016,All,95,6.7
Best Friends Forever,Hindi,2017,All,7,0
Sri Rajeswari Vilas Coffee Club,Telugu,1976,All,137,7.5
Unmadiyude Maranam | ഉന്മാദിയുടെ മരണം,English,2019,NR,81,0
Ondu Cinema Kathe,Kannada,1992,NR,134,0
Soccer City,English,2020,13+,60,6
Antigua and Barbuda,English,2020,13+,25,0
Hackers: Guardians of the New World,English,2020,13+,56,0
Subha Bibaha,Bengali,2017,13+,101,0
Onti Salaga,Kannada,1989,NR,134,0
Ittymaani: Made in China,Malayalam,2019,All,156,4.6
Gringo,Hindi,2018,16+,106,6.1
Fida,Hindi,2004,13+,117,5.5
Preethse,Kannada,2000,All,147,7.5
Hubli,Kannada,2006,13+,175,6.9
A Mini Adventure,English,2019,13+,52,0
Charachar,Bengali,2017,13+,77,8.1
Vinotha Vattikari,Tamil,2014,NR,77,0
Ajab Prem Ki Ghazab Kahani,Hindi,2009,All,144,6.4
Gamer,English,2009,18+,94,5.8
Ernest Goes to School,English,1994,All,89,4.8
Main Chup Rahungi,Hindi,None,All,144,7.3
Papaku Padaharu,Telugu,2002,NR,97,0
Aghat,Bengali,2017,13+,159,0
Six,Malayalam,2014,NR,126,7.3
Mera Rakshak,Hindi,1978,NR,157,4.5
Old MacDonald Had a Farm & More Kids Songs - Super Simple Songs,English,2019,All,42,0
IT,Tamil,2017,18+,134,7.3
Annan,Tamil,1999,NR,143,0
Thirumalai,Tamil,2003,All,166,6.2
Chinnari Sneham,Telugu,1989,NR,136,7.4
Nagarik,Bengali,2017,13+,112,7.5
Eagoler Chokh,Bengali,2017,13+,117,7.2
Andala Papa,Telugu,2001,NR,93,0
Geetha,Kannada,2019,13+,148,6.1
99,Kannada,2019,13+,141,6.2
Manasa Kanya,Bengali,2017,13+,149,0
Swathi Kiranam,Telugu,1991,All,141,8.1
Rampage,Tamil,2018,13+,107,6.1
Maalai Nerathu Mayakkam,Kannada,2015,18+,121,6.4
Lara Croft: Tomb Raider,English,2001,18+,100,5.8
Birth of the Dragon,English,2017,13+,91,5.5
Harry Potter and the Deathly Hallows - Part 2,English,2011,13+,130,8.1
Peranbu (Malayalam),Malayalam,2019,13+,144,8.9
Ami Subhash Bolchi,Bengali,2017,13+,158,0
Aval Varuvala,Tamil,1998,13+,145,6.3
Scott Walker: 30 Century Man,English,2006,16+,99,7.3
Jee Chahta Hai,Hindi,2015,NR,99,0
Rann,Hindi,2010,13+,136,6.9
Amar Bhai Amar Bon,Bengali,2010,NR,141,5.2
Bhairava Geetha (Telugu),Telugu,2018,18+,119,7.8
Zinda,Hindi,2006,All,105,4.9
Ranganayaki,Kannada,1981,NR,162,9.5
The Conjuring 2,English,2016,18+,133,7.3
Ondanondu Kaladalli,Kannada,1978,NR,140,7.2
Bawarchi,Hindi,1972,All,125,8
Tappu Chesi Pappu Koodu,Telugu,2002,NR,146,5.4
Gayakudu,Telugu,2015,All,138,5.2
Annayum Rasoolum,Malayalam,2013,All,159,7.4
A Scandall,Hindi,2016,18+,108,3.1
Kannula Kaasa Kattappa,Tamil,2016,All,114,5.8
Nanagu Hendthi Beku,Kannada,1991,NR,137,0
Baba Taraknath,Bengali,2017,13+,150,5.5
Back to the Future II,Hindi,1989,All,107,7.8
Laysa Laysa,Tamil,2003,All,154,6.1
Malliswari,Telugu,None,NR,157,7.8
Haa,Kannada,2013,NR,105,0
Janani Janmabhumi,Telugu,2009,All,132,7.9
Laung Laachi,Punjabi,2018,13+,136,5.7
Veta,Telugu,1986,NR,147,6.9
Paayum Puli,Tamil,1983,18+,131,6
STIR OF ECHOES,English,1999,18+,99,7
The Burning Train,Hindi,1980,All,139,6.8
Manhattan Night,English,2016,18+,114,6.2
Samaya Puratale Satchi,Tamil,1985,NR,133,0
Bidhatar Khela,Bengali,2017,13+,158,0
Bad Asses on the Bayou,English,2015,18+,84,5.3
Love Exchange,Hindi,2015,13+,120,5.3
Shiva Leele,Kannada,1996,NR,144,0
Chintu Ji,Hindi,2009,NR,115,6
Kaal Ratri,Bengali,1997,NR,93,7.8
Appula Appa Rao,Telugu,1991,NR,139,7.2
Cigarette Ki Tarah,Hindi,2012,NR,125,4.4
Aap Mujhe Achche Lagne Lage,Hindi,2002,13+,166,3.1
KROOS,English,2019,13+,114,6.7
Cream of Mushroom Soup,Bengali,2020,13+,3,0
Love U Mr. Kalakaar,Hindi,2011,All,151,5.3
Puttinillu Mettinillu,Telugu,1973,All,150,0
That Night,English,1993,13+,89,6.7
Suntaragaali,Kannada,2006,NR,160,0
Veera,Tamil,2018,18+,110,4.9
Aasegobba Meesegobba,Kannada,2001,NR,147,8.1
Good Time,English,2017,18+,101,7.4
Gumnaam,Hindi,None,18+,143,7.1
Gemini Ganeshanum Suruli Raajanum,Tamil,2017,All,125,5.8
Hai Golmaal In White House,Hindi,2013,NR,125,0
Guntur Talkies,Telugu,2016,18+,125,5.8
Moonlight,English,2016,18+,111,7.4
Dil Tera Deewana,Hindi,None,All,128,7.1
The Woman in Black 2,English,2015,18+,94,4.8
Kireedam - Malayalam,Malayalam,1998,All,126,0
Kaala (Tamil),Tamil,2018,13+,160,6.7
Durgeshgorer Guptodhon,Bengali,2019,All,130,6.6
Sundar Bou,Bengali,2017,13+,130,0
Amavasya Chandrudu,Telugu,1981,NR,136,0
Chasing Mavericks,Hindi,2012,7+,116,7.2
Yahudi,Hindi,None,NR,150,7.2
Underworld Rise of the Lycans,Tamil,2009,18+,92,6.6
Akka Pakka,Kannada,2013,NR,114,0
Kali Topi Lal Rumal,Hindi,None,NR,129,6.1
Phas Gaye Re Obama,Hindi,2010,18+,115,7.5
The Bourne Legacy,Hindi,2012,13+,134,6.6
Galipatam,Telugu,2014,18+,132,5.7
102 Not Out,Hindi,2018,All,103,7.4
Se Aamar Prem,Bengali,2014,13+,145,0
Sarivar Sari,Marathi,2005,All,126,7.2
Ulsavapittennu,Malayalam,1989,NR,113,7
Mafia,Hindi,1996,NR,141,0
Vestige,English,2020,13+,75,0
Jeena Sirf Merre Liye,Hindi,2002,NR,137,4.4
Sense The Wind,English,2020,13+,54,0
Indiana Jones and the Kingdom of the Crystal Skull,English,2008,All,122,6.1
King Kong,Hindi,2005,13+,187,7.2
Reva,Gujarati,2018,13+,152,8.4
Room,English,2015,18+,113,8.1
Adrift,English,2018,16+,92,6.6
Bhaktha Prahlada,Kannada,1983,NR,154,7.5
Iye Marathichiye Nagari,Marathi,1966,All,126,5
The Matrix Reloaded,Hindi,2003,18+,138,7.2
Unakkenna Venum Sollu,Tamil,2015,13+,122,5.7
Mithai,Tamil,2019,13+,137,4.3
Kathanam,Telugu,2019,13+,110,3.8
Andha Naal,Tamil,1954,All,135,7.8
Trash Humpers,English,2009,18+,77,5.1
Sooper Se Ooper,Hindi,2013,13+,102,4.3
Secrets of Deception,English,2017,18+,74,4.2
Chhaya O Chhobi,Bengali,2017,13+,126,6.8
Pannaiyarum Padminiyum,Tamil,2014,All,147,7.8
Highway Hitcher,English,1999,16+,88,4.9
Bhalo Theko,Bengali,2003,All,119,6.2
Television,Bengali,2020,13+,107,8.2
Maalai Nerathu Mayakkam,Tamil,2015,18+,121,6.4
Taagam Thaagam,Tamil,1995,NR,69,0
Neranja Manasu,Tamil,2004,All,150,2.9
Kismet,Hindi,None,NR,111,6.3
Seeta Aur Geeta,Hindi,1972,All,148,6.8
Man Ka Meet,Hindi,None,NR,150,5.7
Boumar Banabas,Bengali,2017,13+,162,0
Arshinagar,Bengali,2017,13+,144,4.5
Mukkam Post Dhanori,Marathi,2014,All,133,5
Top Cat (Bengali),Bengali,2012,7+,86,0
Raghu Rai: An Unframed Portrait,English,2019,13+,55,6.4
Bhoot Returns,Hindi,2012,NR,87,2.5
NH10,Hindi,2015,NR,111,7.2
Dongaata,Telugu,1997,All,147,6.9
Deva Shapath Khota Saangen Khara Sangnar Nahi,Marathi,2006,All,131,6.2
Ready Player One,English,2018,16+,139,7.5
Aa Gale Lag Jaa,Hindi,1993,13+,157,7.2
Je Pan Kahish E Sachuj Kahish,Gujarati,2016,18+,100,7.3
Maha Chandi,Telugu,2006,NR,135,0
Divyadarshanam,Malayalam,1973,NR,139,0
Kaal,Bengali,2017,13+,106,4.6
ETHIRI,Tamil,2004,13+,158,5.3
Mamangam,Tamil,2019,13+,156,6.4
Ora Thakey Odharey,Bengali,2017,13+,99,7.3
Oru Naal Oru Kanavu,Tamil,2005,All,145,5.9
Reservoir Dogs,English,1992,18+,99,8.3
The Good Samaritan Museum,English,2020,13+,52,0
Hanthakulu Devanthakulu,Telugu,1972,NR,142,0
Haami,Bengali,2018,13+,132,8
Shirdi Saibaba,Hindi,2001,All,150,0
Sanabi,English,1994,NR,84,7.8
Trimurtulu,Telugu,1987,NR,145,6.3
Caravan of the Books: Kenya's Mobile Camel Library,English,2020,13+,50,0
Eetharam Manishi,Telugu,None,NR,136,0
Grease,English,1978,18+,110,7.2
Te Aath Diwas,Marathi,2015,All,114,2.6
Popat,Marathi,2013,13+,153,7
Dharma Yudha,Bengali,2018,13+,135,0
Amar Akbar Anthony,Hindi,1977,All,166,7.5
300,Tamil,2007,18+,116,7.6
The Only Living Boy in New York,English,2018,18+,88,6.3
Kalavaramaye Madhilo,Telugu,2009,All,140,6.2
Chinthavishtayaya Shyamala,Malayalam,1998,All,128,8
Gireja Kalyanam,Telugu,1990,NR,155,0
Venky Mama,Telugu,2019,13+,141,5.4
The Bumble Nums - Season 2,English,2018,All,55,0
Hum Hai Teen Khurafaati,Hindi,2014,NR,126,5.8
O Taareee,Gujarati,2017,13+,114,5.2
The Mechanic,Hindi,2011,18+,88,6.6
Calcutta 71,Bengali,2019,13+,116,7.7
Spider-Man 3,Tamil,2007,13+,139,6.2
Baar Baar Dekho,Hindi,2016,16+,135,5.3
Birbal Trilogy,Kannada,2019,16+,141,7.8
Bhojon E Bhogoban,Bengali,2018,All,16,0
Dui Prithibi (2017),Bengali,2017,13+,150,0
Dil Ka Rishta,Hindi,2003,All,143,4.7
Freefall: Flight 174,English,1995,16+,94,5.9
Milan,Hindi,None,All,163,6.8
Shapadam,Telugu,1972,NR,138,0
Mooruvare Vajragalu,Kannada,1973,NR,129,8.1
Daddy's Home 2,English,2017,16+,99,6
Kozhi Koovuthu,Tamil,1982,NR,135,7.5
In Limbo,English,2020,13+,56,0
Navata Navvandi Vol 1,Telugu,2000,NR,51,0
Gumnaam: The Mystery,Hindi,2008,13+,115,3.7
Bhulokamlo Rambha Urvasi Menaka,Telugu,1989,NR,115,0
Men in Black II,Marathi,2002,16+,88,6.2
Saaheb,Hindi,1984,All,139,7.2
Akele Hum Akele Tum,Hindi,1995,All,154,7
Baghead,English,2008,18+,80,6
Sommokadidhi Sokokadidhi,Telugu,1979,NR,129,6.9
Jumanji: The Next Level,English,2019,13+,123,6.6
I Am Legend,Hindi,2007,18+,100,7.2
Maavichiguru,Telugu,1996,NR,140,6.3
Ramji Londonwaley,Hindi,2005,All,154,6.7
Galli Te Delhi,Marathi,1982,All,111,7.4
Swapnerdin,Bengali,2017,13+,89,0
Moondru Mudichu,Tamil,1976,NR,130,7.1
Anbanavan Asaradhavan Adangadhavan,Tamil,2017,13+,133,2.3
Daal Mein Kuch Kaala Hai,Hindi,2012,NR,130,3.9
Moner Moto Mon,Bengali,1998,NR,127,5.8
Vilakku Vangiya Veena,Malayalam,1971,NR,167,0
Gharshana,Telugu,1988,NR,142,0
Chinna Kavundar,Tamil,1992,All,141,6.9
Tera Intezaar,Hindi,2017,18+,106,1.7
Andaz,Hindi,1994,All,160,4.5
Vesham,Malayalam,2004,All,146,5.9
Mann,Hindi,1999,13+,174,6.2
Bug,English,2007,18+,101,6.1
Shoot,Hindi,2018,All,19,0
Saadi Marzi,Punjabi,2019,All,118,5.5
Guava Island,English,2019,13+,56,6.7
Agnidevan,Malayalam,1995,NR,138,5.8
Raavanaprabhu,Malayalam,2001,NR,168,7
Ernest Goes to Africa,English,1997,7+,90,4.6
Mayabazar,Telugu,None,All,175,9.1
Make Us Dream,English,2018,16+,103,8
Nude,English,2018,18+,90,5.9
Bablu - The Naughty Genie,Hindi,2013,All,68,0
Chhota Bheem : Kung Fu Dhamaka!,Hindi,2020,All,112,0
CONFIDENCE,English,2003,18+,97,0
Shapmukti,Bengali,1986,NR,126,0
Goynar Baksho,Bengali,2017,13+,139,7.1
Chatur Navra Chikni Bayko,Marathi,2004,13+,125,0
Naan Sigappu Manithan,Tamil,1985,18+,147,6.5
Sallaapam,Malayalam,2007,NR,141,6.5
Chhota Bheem - Bheemayan,Hindi,2020,All,62,0
Kaal,Hindi,2005,13+,125,4.6
Mister Pellam,Telugu,1993,NR,123,0
Death of a Salesman,English,1985,13+,136,7.3
Holly Slept Over,Hindi,2020,16+,87,5.5
"Lock, Stock & Two Smoking Barrels",English,1998,18+,106,8.2
Roaring Currents,Hindi,2014,18+,105,7.1
Coming 2 America (Trailer),English,2021,7+,3,0
Iddari Lokam Okate,Telugu,2019,13+,126,5.4
Kedi,Tamil,2006,13+,172,4.2
Sarvamangala,Kannada,1968,NR,142,7.8
300: Rise of an Empire,Hindi,2014,18+,102,6.2
Bhoy,Bengali,2017,13+,103,0
Death of Love,Bengali,2018,13+,117,7.2
Gujarat 11,Gujarati,2019,All,132,6.5
Birdman,English,2014,18+,119,0
Happy Days,Telugu,2007,All,159,7.4
God Tussi Great Ho,Hindi,2008,All,144,3.6
Mere Apne,Hindi,1971,All,128,7.4
Natoker Moto,Bengali,2019,13+,120,0
Machhli Jal Ki Rani Hai,Hindi,2014,18+,118,2.4
Veerabhimanyu,Telugu,None,All,180,7.3
Montu Ni Bittu,Gujarati,2019,All,125,6.7
The Rebound,English,2009,13+,91,6.3
Baishakhi Megh,Bengali,2017,13+,104,0
Ek Gaon Ki Kahani,Hindi,None,NR,137,6.4
Kevi Rite Jaish,Gujarati,2012,All,128,8.1
Dabangg 3,Hindi,2019,13+,148,3.2
Bhaagamathie,Telugu,2018,13+,137,7
Deepsikha,Bengali,1988,NR,105,0
Rannbhoomi,Marathi,2013,All,120,4.9
Pedarayudu,Telugu,1995,All,155,0
According to Greta,English,2009,16+,92,6.1
Beta,Hindi,1992,All,157,6.3
Master (Tamil),Tamil,2021,16+,177,7.1
Tum Bin II,Hindi,2016,13+,140,4.8
Yathrakarude Sradhakku,Malayalam,2002,All,147,6.8
Hotel Snow Fox,Bengali,1976,NR,136,7
Putani Agent 123,Kannada,1979,NR,114,0
POOVINU_PUTHIYA_POONTHENNEL,Malayalam,1986,All,123,7.1
Maine Pyaar Kyun Kiya,Hindi,2005,All,137,5.5
Swamir Ghar,Bengali,2018,13+,153,0
Mama,Hindi,2013,18+,99,6.2
Ekai Eksho,Bengali,2006,All,152,0
Top Cat,Telugu,2012,13+,86,7.1
Nayakudu,Telugu,1987,NR,147,8.6
Thenmavin Kombath,Malayalam,1994,All,164,8.1
Guns Akimbo,Hindi,2020,18+,93,6.3
Nani,Telugu,1992,NR,133,7.3
Toofan,Hindi,1975,All,138,5.6
Pap Punnya,Bengali,1987,NR,126,0
Life,Malayalam,2014,NR,128,6.6
Tidal,English,2019,13+,28,0
Criminalising Women,English,2020,13+,44,0
Amazon Obhijaan,Bengali,2018,13+,138,4.6
Pichiga Nachav,Telugu,2017,13+,126,0
Kannathil Muthamittal,Tamil,2002,All,131,8.4
Never Let Go,English,2017,16+,93,5.3
Siddharth,Hindi,2013,All,96,7.3
Dead Before Dawn (Restored),English,1993,13+,97,6.2
CR No:89,Malayalam,2015,All,79,7
Gandha,Marathi,2009,18+,99,7.6
Samadhi,Hindi,1972,All,138,8.5
V1 Murder Case,Tamil,2019,13+,107,7
Aami Aar Amar Girlfriends,Bengali,2018,13+,120,0
Niram,Malayalam,1999,All,151,7
Premer Guarantee,Bengali,2019,All,123,0
Men in Black II,Telugu,2002,16+,88,6.2
Hou De Jarasa Ushir,Marathi,2013,13+,133,7.6
Chankya Sapatham,Telugu,1986,NR,137,0
Voice From the Stone,English,2017,18+,90,5.2
Unchi Medina Uncha Mol,Gujarati,1996,All,161,0
Biswa Kalyan Rath: Biswa Mast Aadmi,Hindi,2017,18+,60,8.4
Manmarziyaan,Hindi,2018,NR,155,6.9
Total Dadagiri,Bengali,2018,13+,146,5.1
The Expendables 2,English,2012,18+,98,6.6
Har Mana Har,Bengali,2017,13+,129,6.9
Adam Joan,Malayalam,2017,All,152,6.5
Maharshi,Telugu,2019,7+,177,7.2
Pellaniki Prema Lekha Priyaraluku Subha Lekha,Telugu,1992,NR,138,6.2
Aanjaneya,Tamil,2003,13+,182,3.6
